search_id	feature_set	max_depth	min_samples_leaf	criterion	class_weights	exact_match	TP	FP	FN	TN	final_n	overlap_n	false_negative_n	false_positive_n	false_negatives	false_positives	tree_depth	number_of_leaves	number_of_conditions	number_of_clauses	positive_path_conditions	unique_features_used
TREE017	EXCLUDE_P_FDR	4	2	gini	none	FALSE	30	4	2	79	34	30	2	4	LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	6	19	7
TREE021	EXCLUDE_P_FDR	4	3	gini	none	FALSE	27	4	5	79	31	27	5	4	COL1A1;COL8A1;LAMA2;LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	4	14	7
TREE033	EXCLUDE_P_FDR	5	3	gini	none	FALSE	27	4	5	79	31	27	5	4	COL1A1;COL8A1;LAMA2;LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	4	14	7
TREE045	EXCLUDE_P_FDR	6	3	gini	none	FALSE	27	4	5	79	31	27	5	4	COL1A1;COL8A1;LAMA2;LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	4	14	7
TREE057	EXCLUDE_P_FDR	7	3	gini	none	FALSE	27	4	5	79	31	27	5	4	COL1A1;COL8A1;LAMA2;LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	4	14	7
TREE069	EXCLUDE_P_FDR	8	3	gini	none	FALSE	27	4	5	79	31	27	5	4	COL1A1;COL8A1;LAMA2;LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	4	14	7
TREE081	EXCLUDE_P_FDR	9	3	gini	none	FALSE	27	4	5	79	31	27	5	4	COL1A1;COL8A1;LAMA2;LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	4	14	7
TREE093	EXCLUDE_P_FDR	10	3	gini	none	FALSE	27	4	5	79	31	27	5	4	COL1A1;COL8A1;LAMA2;LAMC1;THBS2	COL13A1;COL4A6;GREM1;TLL2	4	9	8	4	14	7
TREE019	EXCLUDE_P_FDR	4	2	entropy	none	FALSE	29	3	3	80	32	29	3	3	ITGBL1;MMP13;THBS2	COL13A1;COL4A6;TLL2	4	9	8	5	17	8
TREE032	EXCLUDE_P_FDR	5	2	entropy	balanced	FALSE	32	7	0	76	39	32	0	7		COL13A1;DDR2;DPT;FOXC1;GREM1;LAMB4;TLL2	5	9	8	4	16	8
TREE036	EXCLUDE_P_FDR	5	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL13A1;DDR2;DPT;EXT1;FOXC1;GREM1;LAMB4;TLL2	5	9	8	4	16	8
TREE048	EXCLUDE_P_FDR	6	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL13A1;DDR2;DPT;EXT1;FOXC1;GREM1;LAMB4;TLL2	5	9	8	4	16	8
TREE034	EXCLUDE_P_FDR	5	3	gini	balanced	FALSE	32	10	0	73	42	32	0	10		ADAMTS3;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;LAMB4;MMP14;MMP28;PLOD3	5	9	8	4	15	8
TREE046	EXCLUDE_P_FDR	6	3	gini	balanced	FALSE	32	10	0	73	42	32	0	10		ADAMTS3;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;LAMB4;MMP14;MMP28;PLOD3	5	9	8	4	15	8
TREE058	EXCLUDE_P_FDR	7	3	gini	balanced	FALSE	32	10	0	73	42	32	0	10		ADAMTS3;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;LAMB4;MMP14;MMP28;PLOD3	5	9	8	4	15	8
TREE070	EXCLUDE_P_FDR	8	3	gini	balanced	FALSE	32	10	0	73	42	32	0	10		ADAMTS3;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;LAMB4;MMP14;MMP28;PLOD3	5	9	8	4	15	8
TREE082	EXCLUDE_P_FDR	9	3	gini	balanced	FALSE	32	10	0	73	42	32	0	10		ADAMTS3;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;LAMB4;MMP14;MMP28;PLOD3	5	9	8	4	15	8
TREE094	EXCLUDE_P_FDR	10	3	gini	balanced	FALSE	32	10	0	73	42	32	0	10		ADAMTS3;EMILIN1;EXT1;FOXC1;GREM1;ITGA5;LAMB4;MMP14;MMP28;PLOD3	5	9	8	4	15	8
TREE015	EXCLUDE_P_FDR	4	1	entropy	none	FALSE	29	2	3	81	31	29	3	2	ITGBL1;MMP13;THBS2	COL13A1;COL4A6	4	10	9	5	18	9
TREE028	EXCLUDE_P_FDR	5	1	entropy	balanced	FALSE	32	6	0	77	38	32	0	6		COL13A1;DDR2;DPT;FOXC1;LAMB4;TLL2	5	10	9	4	17	9
TREE030	EXCLUDE_P_FDR	5	2	gini	balanced	FALSE	32	7	0	76	39	32	0	7		ADAMTS3;COMP;EMILIN1;FOXC1;GREM1;LAMB4;MMP28	5	10	9	4	16	9
TREE035	EXCLUDE_P_FDR	5	3	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL8A1;LAMA2	COL13A1;COL4A6;EXT1;ITGB8;TLL2	5	10	9	5	18	9
TREE047	EXCLUDE_P_FDR	6	3	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL8A1;LAMA2	COL13A1;COL4A6;EXT1;ITGB8;TLL2	5	10	9	5	18	9
TREE059	EXCLUDE_P_FDR	7	3	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL8A1;LAMA2	COL13A1;COL4A6;EXT1;ITGB8;TLL2	5	10	9	5	18	9
TREE071	EXCLUDE_P_FDR	8	3	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL8A1;LAMA2	COL13A1;COL4A6;EXT1;ITGB8;TLL2	5	10	9	5	18	9
TREE083	EXCLUDE_P_FDR	9	3	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL8A1;LAMA2	COL13A1;COL4A6;EXT1;ITGB8;TLL2	5	10	9	5	18	9
TREE095	EXCLUDE_P_FDR	10	3	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL8A1;LAMA2	COL13A1;COL4A6;EXT1;ITGB8;TLL2	5	10	9	5	18	9
TREE044	EXCLUDE_P_FDR	6	2	entropy	balanced	FALSE	32	5	0	78	37	32	0	5		COL13A1;DDR2;DPT;GREM1;LAMB4	6	10	9	4	17	9
TREE056	EXCLUDE_P_FDR	7	2	entropy	balanced	FALSE	32	5	0	78	37	32	0	5		COL13A1;DDR2;DPT;GREM1;LAMB4	6	10	9	4	17	9
TREE029	EXCLUDE_P_FDR	5	2	gini	none	FALSE	30	2	2	81	32	30	2	2	LAMC1;THBS2	GREM1;TLL2	5	11	10	7	25	9
TREE041	EXCLUDE_P_FDR	6	2	gini	none	FALSE	30	2	2	81	32	30	2	2	LAMC1;THBS2	GREM1;TLL2	5	11	10	7	25	9
TREE053	EXCLUDE_P_FDR	7	2	gini	none	FALSE	30	2	2	81	32	30	2	2	LAMC1;THBS2	GREM1;TLL2	5	11	10	7	25	9
TREE065	EXCLUDE_P_FDR	8	2	gini	none	FALSE	30	2	2	81	32	30	2	2	LAMC1;THBS2	GREM1;TLL2	5	11	10	7	25	9
TREE077	EXCLUDE_P_FDR	9	2	gini	none	FALSE	30	2	2	81	32	30	2	2	LAMC1;THBS2	GREM1;TLL2	5	11	10	7	25	9
TREE089	EXCLUDE_P_FDR	10	2	gini	none	FALSE	30	2	2	81	32	30	2	2	LAMC1;THBS2	GREM1;TLL2	5	11	10	7	25	9
TREE026	EXCLUDE_P_FDR	5	1	gini	balanced	FALSE	32	5	0	78	37	32	0	5		ADAMTS3;EMILIN1;FOXC1;LAMB4;MMP28	5	11	10	4	17	10
TREE040	EXCLUDE_P_FDR	6	1	entropy	balanced	FALSE	32	4	0	79	36	32	0	4		COL13A1;DDR2;DPT;LAMB4	6	11	10	4	18	10
TREE052	EXCLUDE_P_FDR	7	1	entropy	balanced	FALSE	32	4	0	79	36	32	0	4		COL13A1;DDR2;DPT;LAMB4	6	11	10	4	18	10
TREE060	EXCLUDE_P_FDR	7	3	entropy	balanced	FALSE	32	3	0	80	35	32	0	3		COL13A1;EXT1;GREM1	7	11	10	5	24	10
TREE072	EXCLUDE_P_FDR	8	3	entropy	balanced	FALSE	32	3	0	80	35	32	0	3		COL13A1;EXT1;GREM1	7	11	10	5	24	10
TREE084	EXCLUDE_P_FDR	9	3	entropy	balanced	FALSE	32	3	0	80	35	32	0	3		COL13A1;EXT1;GREM1	7	11	10	5	24	10
TREE096	EXCLUDE_P_FDR	10	3	entropy	balanced	FALSE	32	3	0	80	35	32	0	3		COL13A1;EXT1;GREM1	7	11	10	5	24	10
TREE013	EXCLUDE_P_FDR	4	1	gini	none	FALSE	31	2	1	81	33	31	1	2	THBS2	COL4A6;GREM1	4	12	11	7	25	10
TREE042	EXCLUDE_P_FDR	6	2	gini	balanced	FALSE	32	4	0	79	36	32	0	4		ADAMTS3;COMP;EMILIN1;FOXC1	6	12	11	5	23	11
TREE068	EXCLUDE_P_FDR	8	2	entropy	balanced	FALSE	32	2	0	81	34	32	0	2		COL13A1;GREM1	8	12	11	5	26	11
TREE080	EXCLUDE_P_FDR	9	2	entropy	balanced	FALSE	32	2	0	81	34	32	0	2		COL13A1;GREM1	8	12	11	5	26	11
TREE092	EXCLUDE_P_FDR	10	2	entropy	balanced	FALSE	32	2	0	81	34	32	0	2		COL13A1;GREM1	8	12	11	5	26	11
TREE031	EXCLUDE_P_FDR	5	2	entropy	none	FALSE	32	2	0	81	34	32	0	2		ITGB8;TLL2	5	13	12	7	28	11
TREE043	EXCLUDE_P_FDR	6	2	entropy	none	FALSE	32	2	0	81	34	32	0	2		ITGB8;TLL2	5	13	12	7	28	11
TREE055	EXCLUDE_P_FDR	7	2	entropy	none	FALSE	32	2	0	81	34	32	0	2		ITGB8;TLL2	5	13	12	7	28	11
TREE067	EXCLUDE_P_FDR	8	2	entropy	none	FALSE	32	2	0	81	34	32	0	2		ITGB8;TLL2	5	13	12	7	28	11
TREE079	EXCLUDE_P_FDR	9	2	entropy	none	FALSE	32	2	0	81	34	32	0	2		ITGB8;TLL2	5	13	12	7	28	11
TREE091	EXCLUDE_P_FDR	10	2	entropy	none	FALSE	32	2	0	81	34	32	0	2		ITGB8;TLL2	5	13	12	7	28	11
TREE038	EXCLUDE_P_FDR	6	1	gini	balanced	FALSE	32	3	0	80	35	32	0	3		ADAMTS3;EMILIN1;LAMB4	6	13	12	4	19	11
TREE064	EXCLUDE_P_FDR	8	1	entropy	balanced	FALSE	32	1	0	82	33	32	0	1		COL13A1	8	13	12	5	27	12
TREE027	EXCLUDE_P_FDR	5	1	entropy	none	FALSE	32	1	0	82	33	32	0	1		ITGB8	5	14	13	7	29	12
TREE050	EXCLUDE_P_FDR	7	1	gini	balanced	FALSE	32	2	0	81	34	32	0	2		EMILIN1;LAMB4	7	14	13	4	20	12
TREE054	EXCLUDE_P_FDR	7	2	gini	balanced	FALSE	32	2	0	81	34	32	0	2		COMP;FOXC1	7	14	13	6	31	13
TREE066	EXCLUDE_P_FDR	8	2	gini	balanced	FALSE	32	2	0	81	34	32	0	2		COMP;FOXC1	7	14	13	6	31	13
TREE078	EXCLUDE_P_FDR	9	2	gini	balanced	FALSE	32	2	0	81	34	32	0	2		COMP;FOXC1	7	14	13	6	31	13
TREE090	EXCLUDE_P_FDR	10	2	gini	balanced	FALSE	32	2	0	81	34	32	0	2		COMP;FOXC1	7	14	13	6	31	13
TREE062	EXCLUDE_P_FDR	8	1	gini	balanced	FALSE	32	1	0	82	33	32	0	1		LAMB4	8	15	14	4	21	13
TREE074	EXCLUDE_P_FDR	9	1	gini	balanced	FALSE	32	1	0	82	33	32	0	1		LAMB4	8	15	14	4	21	13
TREE108	WITH_P_FDR	3	3	entropy	balanced	FALSE	31	11	1	72	42	31	1	11	COL1A1	ADAMTS3;COL13A1;COL4A2;DDR2;GREM1;ITGB3;LAMB4;LAMC3;LUM;MMP28;TLL2	3	5	4	2	5	3
TREE101	WITH_P_FDR	3	2	gini	none	FALSE	26	4	6	79	30	26	6	4	COL15A1;COL19A1;COL5A3;ITGA4;LAMA1;MMP13	COL9A2;DDR2;ITGB3;TLL2	3	5	4	2	5	4
TREE105	WITH_P_FDR	3	3	gini	none	FALSE	26	4	6	79	30	26	6	4	COL15A1;COL19A1;COL5A3;ITGA4;LAMA1;MMP13	COL9A2;DDR2;ITGB3;TLL2	3	5	4	2	5	4
TREE103	WITH_P_FDR	3	2	entropy	none	FALSE	27	4	5	79	31	27	5	4	COL15A1;COL19A1;COL1A1;ITGA4;MMP13	DDR2;ITGB3;LAMC3;TLL2	3	6	5	2	6	4
TREE107	WITH_P_FDR	3	3	entropy	none	FALSE	27	4	5	79	31	27	5	4	COL15A1;COL19A1;COL1A1;ITGA4;MMP13	DDR2;ITGB3;LAMC3;TLL2	3	6	5	2	6	4
TREE100	WITH_P_FDR	3	1	entropy	balanced	FALSE	31	9	1	74	40	31	1	9	COL1A1	ADAMTS3;COL13A1;COL4A2;DDR2;ITGB3;LAMB4;LAMC3;MMP28;TLL2	3	6	5	2	6	4
TREE104	WITH_P_FDR	3	2	entropy	balanced	FALSE	31	9	1	74	40	31	1	9	COL1A1	ADAMTS3;COL13A1;COL4A2;DDR2;ITGB3;LAMB4;LAMC3;MMP28;TLL2	3	6	5	2	6	4
TREE102	WITH_P_FDR	3	2	gini	balanced	FALSE	31	10	1	73	41	31	1	10	COL5A3	ADAMTS3;COL13A1;COL4A2;COL9A2;DDR2;ITGB3;LAMB4;MMP28;MMP3;TLL2	3	6	5	3	8	5
TREE106	WITH_P_FDR	3	3	gini	balanced	FALSE	30	10	2	73	40	30	2	10	COL5A3;LAMA2	ADAMTS3;COL13A1;COL4A2;COL9A2;DDR2;EMILIN1;GREM1;ITGB3;MMP3;TLL2	3	6	5	3	8	5
TREE113	WITH_P_FDR	4	2	gini	none	FALSE	29	5	3	78	34	29	3	5	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2;DDR2;ITGB3;TLL2	4	6	5	3	9	5
TREE117	WITH_P_FDR	4	3	gini	none	FALSE	29	5	3	78	34	29	3	5	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2;DDR2;ITGB3;TLL2	4	6	5	3	9	5
TREE099	WITH_P_FDR	3	1	entropy	none	FALSE	28	4	4	79	32	28	4	4	COL15A1;COL19A1;COL1A1;ITGA4	DDR2;ITGB3;LAMC3;TLL2	3	7	6	3	9	5
TREE115	WITH_P_FDR	4	2	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL1A1;MMP13	ADAMTS3;DDR2;ITGB3;LAMC3;TLL2	4	7	6	3	10	5
TREE119	WITH_P_FDR	4	3	entropy	none	FALSE	30	5	2	78	35	30	2	5	COL1A1;MMP13	ADAMTS3;DDR2;ITGB3;LAMC3;TLL2	4	7	6	3	10	5
TREE116	WITH_P_FDR	4	2	entropy	balanced	FALSE	31	7	1	76	38	31	1	7	THBS2	COL13A1;ITGB3;LAMB4;LAMC2;LAMC3;MMP28;TLL2	4	8	7	3	11	5
TREE128	WITH_P_FDR	5	2	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		ADAMTS3;COL13A1;ITGB3;LAMB4;LAMC2;LAMC3;MMP28;TLL2	5	9	8	4	16	5
TREE140	WITH_P_FDR	6	2	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		ADAMTS3;COL13A1;ITGB3;LAMB4;LAMC2;LAMC3;MMP28;TLL2	5	9	8	4	16	5
TREE098	WITH_P_FDR	3	1	gini	balanced	FALSE	31	8	1	75	39	31	1	8	COL5A3	ADAMTS3;COL13A1;COL4A2;DDR2;ITGB3;LAMB4;MMP28;TLL2	3	7	6	3	9	6
TREE114	WITH_P_FDR	4	2	gini	balanced	FALSE	30	7	2	76	37	30	2	7	COL5A3;THBS2	COL13A1;COL9A2;ITGB3;LAMB4;MMP28;MMP3;TLL2	4	7	6	3	9	6
TREE118	WITH_P_FDR	4	3	gini	balanced	FALSE	29	7	3	76	36	29	3	7	COL5A3;LAMA2;THBS2	COL13A1;COL9A2;EMILIN1;GREM1;ITGB3;MMP3;TLL2	4	7	6	3	9	6
TREE110	WITH_P_FDR	4	1	gini	balanced	FALSE	30	5	2	78	35	30	2	5	COL5A3;THBS2	COL13A1;ITGB3;LAMB4;MMP28;TLL2	4	8	7	3	10	6
TREE120	WITH_P_FDR	4	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL4A2;DDR2;ITGAE;ITGB3;ITGB5;LAMB4;LAMC3;MMP28	4	8	7	4	14	6
TREE132	WITH_P_FDR	5	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL4A2;DDR2;ITGAE;ITGB3;ITGB5;LAMB4;LAMC3;MMP28	4	8	7	4	14	6
TREE144	WITH_P_FDR	6	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL4A2;DDR2;ITGAE;ITGB3;ITGB5;LAMB4;LAMC3;MMP28	4	8	7	4	14	6
TREE156	WITH_P_FDR	7	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL4A2;DDR2;ITGAE;ITGB3;ITGB5;LAMB4;LAMC3;MMP28	4	8	7	4	14	6
TREE168	WITH_P_FDR	8	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL4A2;DDR2;ITGAE;ITGB3;ITGB5;LAMB4;LAMC3;MMP28	4	8	7	4	14	6
TREE180	WITH_P_FDR	9	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL4A2;DDR2;ITGAE;ITGB3;ITGB5;LAMB4;LAMC3;MMP28	4	8	7	4	14	6
TREE192	WITH_P_FDR	10	3	entropy	balanced	FALSE	32	8	0	75	40	32	0	8		COL4A2;DDR2;ITGAE;ITGB3;ITGB5;LAMB4;LAMC3;MMP28	4	8	7	4	14	6
TREE112	WITH_P_FDR	4	1	entropy	balanced	FALSE	31	5	1	78	36	31	1	5	THBS2	COL13A1;ITGB3;LAMB4;MMP28;TLL2	4	9	8	3	12	6
TREE124	WITH_P_FDR	5	1	entropy	balanced	FALSE	32	5	0	78	37	32	0	5		COL13A1;ITGB3;LAMB4;MMP28;TLL2	5	10	9	4	17	6
TREE136	WITH_P_FDR	6	1	entropy	balanced	FALSE	32	5	0	78	37	32	0	5		COL13A1;ITGB3;LAMB4;MMP28;TLL2	5	10	9	4	17	6
TREE097	WITH_P_FDR	3	1	gini	none	FALSE	28	3	4	80	31	28	4	3	COL15A1;COL19A1;COL5A3;ITGA4	DDR2;ITGB3;TLL2	3	8	7	4	12	7
TREE125	WITH_P_FDR	5	2	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
TREE129	WITH_P_FDR	5	3	gini	none	FALSE	29	2	3	81	31	29	3	2	COL5A3;LAMA1;MMP13	ADAMTS3;COL9A2	5	8	7	4	15	7
