"figure_or_table","panel_or_section","dataset","analysis","source_script","source_output","publicly_reproducible","reason_if_not_publicly_reproducible"
"Supplementary Table S1","All sections","All cohorts","Cohort-specific phenotype definitions and harmonization","docs/phenotype_definitions.md","docs/phenotype_definitions.md","Partly","Public phenotype definitions are documented; protected hospital variables are dictionary-level only."
"Supplementary Table S2","All sections","All cohorts","Predefined epithelial gene sets and cohort-specific gene coverage","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R","gene_sets/; outputs/audit_reruns/machine_readable_tables/GSE18965_gene_set_score_models.csv","Partly","Gene sets are public; cohort-specific coverage requires deposited expression matrices."
"Supplementary Table S3","All sections","GSE18965","Differential-expression, enrichment, and repair-ECM reproducibility audit","R/01_GSE18965_preprocessing.R; R/02_GSE18965_DEG_and_ECM_scores.R","outputs/audit_reruns/machine_readable_tables/GSE18965_all_DEG_results.csv; outputs/audit_reruns/machine_readable_tables/GSE18965_fixed32_DEG_overlap.csv","Partly","Public rerun is supported by recovered R code; historical 32-gene selection intermediates are unavailable."
"Supplementary Table S4A","All sections","GSE118761","Nasal IFN-ECM quadrant profiles","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R","reference output described in Supplementary Table S4A; standalone source CSV unavailable","Reference output only","No standalone machine-readable source CSV was recovered for the IFN-ECM quadrant profile table."
"Supplementary Table S4B","All sections","GSE118761","Cross-validated discrimination of atopy among children with wheeze","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R","reference output described in Supplementary Table S4B; standalone source CSV unavailable","Reference output only","No standalone cross-validation fold/AUC source CSV was recovered."
"Supplementary Table S5","All sections","GSE152004 and GSE118761","Key PCA-derived factor associations","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R; R/06_tables_and_figures.R","outputs/audit_reruns/machine_readable_tables/GSE152004_PCA_correlations.csv; outputs/audit_reruns/machine_readable_tables/GSE118761_nasal_PCA_correlations.csv; outputs/audit_reruns/machine_readable_tables/GSE118761_tracheal_PCA_correlations.csv","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Supplementary Table S6","All sections","GSE152004","Internal clustering metrics for two-axis and three-program models","R/05_sensitivity_analyses.R; R/06_tables_and_figures.R","outputs/audit_reruns/machine_readable_tables/clustering_internal_metrics.csv","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Supplementary Table S7","All sections","GSE152004","Molecular and clinical profiles of the three GSE152004 transcriptomic states","R/06_tables_and_figures.R","outputs/audit_reruns/machine_readable_tables/GSE152004_final_state_profiles.csv","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Supplementary Table S8","All sections","GSE152004","Expression-matched random-set specificity tests","R/05_sensitivity_analyses.R","outputs/audit_reruns/machine_readable_tables/ECM_random_set_specificity.csv","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Supplementary Table S9","All sections","GSE118761","Cross-cohort projection profiles","R/05_sensitivity_analyses.R; R/06_tables_and_figures.R","outputs/audit_reruns/machine_readable_tables/GSE118761_projection_profiles.csv","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Supplementary Table S10","All sections","Hospital clinical cohort","Primary and ICS-adjusted hospital-cohort clinical models","R/06_tables_and_figures.R","outputs/audit_reruns/machine_readable_tables/hospital_primary_models.csv; outputs/audit_reruns/machine_readable_tables/hospital_ICS_sensitivity_models.csv","No","Requires protected individual-level clinical data; code, data dictionary, and synthetic input structure are provided."
"Supplementary Table S11","All sections","GSE152004","Sensitivity to alternative molecular T2-classification branches","R/06_tables_and_figures.R","outputs/audit_reruns/machine_readable_tables/GSE152004_T2_branch_sensitivity.csv","Rerunnable only with required intermediate inputs","Recovered source code and reference outputs are provided; a complete rerun requires the intermediate standardized expression and metadata inputs listed in data_manifest/required_intermediate_inputs.csv."
"Supplementary Table S12","All sections","All public transcriptomic cohorts","Fair comparison of mean-z and official ssGSEA ECM scoring methods","R/03_RNAseq_preprocessing.R; R/04_gene_set_scoring.R; R/05_sensitivity_analyses.R","mean-z versus official ssGSEA model output; standalone machine-readable source file unavailable in public archive","Reference output only","No standalone mean-z versus ssGSEA model output file was recovered for public packaging."
