id	source_path	sheet	nrow	ncol	columns	categorical_counts	contains_target_numbers
f0025.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\fair_mean_z_vs_ssGSEA_models.xlsx	comparison	18	27	dataset|tissue|ECM_definition|outcome|n_mean_z|n_ssGSEA|events_mean_z|events_ssGSEA|beta_mean_z|beta_ssGSEA|SE_mean_z|SE_ssGSEA|OR_per_SD_mean_z|OR_per_SD_ssGSEA|CI_low_mean_z|CI_low_ssGSEA|CI_high_mean_z|CI_high_ssGSEA|p_value_mean_z|p_value_ssGSEA|AIC_mean_z|AIC_ssGSEA|same_n|same_events|direction_consistent|materially_consistent|beta_difference		FALSE
f0026.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\STRICT_CLASSIFICATION_AUDIT.xlsx	criterion5	2	18	ECM_definition|metric|true_value|random_n|random_mean|random_sd|q2.5|q50|q97.5|empirical_p|monte_carlo_se|true_percentile|BH_FDR_external8|tissue|mean_assignment_margin|low_confidence_rate|random_median_low_confidence|projection_specificity_supported	projection_specificity_supported:FALSE=2	FALSE
f0026.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\STRICT_CLASSIFICATION_AUDIT.xlsx	criterion6	12	27	dataset|tissue|ECM_definition|outcome|n_mean_z|n_ssGSEA|events_mean_z|events_ssGSEA|beta_mean_z|beta_ssGSEA|SE_mean_z|SE_ssGSEA|OR_per_SD_mean_z|OR_per_SD_ssGSEA|CI_low_mean_z|CI_low_ssGSEA|CI_high_mean_z|CI_high_ssGSEA|p_value_mean_z|p_value_ssGSEA|AIC_mean_z|AIC_ssGSEA|same_n|same_events|direction_consistent|materially_consistent|beta_difference		FALSE
f0027.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\01_input_audit\input_audit_tables.xlsx	files	12	4	role|path|size_bytes|md5		FALSE
f0027.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\01_input_audit\input_audit_tables.xlsx	coverage	6	5	cohort|ECM_definition|fixed_members|present|coverage		FALSE
f0029.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\02_corrected_bootstrap\real_models_bootstrap_100.xlsx	full_metrics	4	8	model|mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|centroid_min_distance|min_cluster_size|cluster_collapse	min_cluster_size:58=1;64=1;68=1;74=1 | cluster_collapse:FALSE=4	FALSE
f0031.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\03_external_specificity_permutation\corrected_permutation_empirical_pvalues.xlsx	true_metrics	2	6	ECM_definition|delta_bootstrap_ARI|delta_silhouette|cross_definition_cluster_ARI|nasal_projection_assignment_margin|nasal_projection_low_confidence_rate	cross_definition_cluster_ARI:0.581070374577994=2 | nasal_projection_assignment_margin:0.78244972911427=1;0.842737344806396=1 | nasal_projection_low_confidence_rate:0=1;0.109090909090909=1	FALSE
f0032.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\04_fair_mean_z_ssGSEA_models\fair_mean_z_vs_ssGSEA_models.xlsx	models	36	16	dataset|tissue|ECM_definition|outcome|method|covariates|n|events|estimable|beta|SE|OR_per_SD|CI_low|CI_high|p_value|AIC		FALSE
f0032.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\04_fair_mean_z_ssGSEA_models\fair_mean_z_vs_ssGSEA_models.xlsx	comparison	18	27	dataset|tissue|ECM_definition|outcome|n_mean_z|n_ssGSEA|events_mean_z|events_ssGSEA|beta_mean_z|beta_ssGSEA|SE_mean_z|SE_ssGSEA|OR_per_SD_mean_z|OR_per_SD_ssGSEA|CI_low_mean_z|CI_low_ssGSEA|CI_high_mean_z|CI_high_ssGSEA|p_value_mean_z|p_value_ssGSEA|AIC_mean_z|AIC_ssGSEA|same_n|same_events|direction_consistent|materially_consistent|beta_difference		FALSE
f0033.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\04_fair_mean_z_ssGSEA_models\fair_mean_z_vs_ssGSEA_sample_audit.xlsx	sample_audit	18	7	dataset|tissue|ECM_definition|outcome|model|n_complete|events		FALSE
f0034.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\05_corrected_projection\corrected_projection_specificity.xlsx	projection_specificity	2	18	ECM_definition|metric|true_value|random_n|random_mean|random_sd|q2.5|q50|q97.5|empirical_p|monte_carlo_se|true_percentile|BH_FDR_external8|tissue|mean_assignment_margin|low_confidence_rate|random_median_low_confidence|projection_specificity_supported	projection_specificity_supported:FALSE=2	FALSE
f0034.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\05_corrected_projection\corrected_projection_specificity.xlsx	real_projection_assignments	208	8	ECM_definition|tissue|sample_id|projected_cluster|nearest_distance|second_distance|assignment_margin|low_confidence	projected_cluster:3=79;1=75;2=54	FALSE
f0035.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\06_strict_reclassification\STRICT_CLASSIFICATION_AUDIT.xlsx	criterion5	2	18	ECM_definition|metric|true_value|random_n|random_mean|random_sd|q2.5|q50|q97.5|empirical_p|monte_carlo_se|true_percentile|BH_FDR_external8|tissue|mean_assignment_margin|low_confidence_rate|random_median_low_confidence|projection_specificity_supported	projection_specificity_supported:FALSE=2	FALSE
f0035.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_corrected_rerun\06_strict_reclassification\STRICT_CLASSIFICATION_AUDIT.xlsx	criterion6	12	27	dataset|tissue|ECM_definition|outcome|n_mean_z|n_ssGSEA|events_mean_z|events_ssGSEA|beta_mean_z|beta_ssGSEA|SE_mean_z|SE_ssGSEA|OR_per_SD_mean_z|OR_per_SD_ssGSEA|CI_low_mean_z|CI_low_ssGSEA|CI_high_mean_z|CI_high_ssGSEA|p_value_mean_z|p_value_ssGSEA|AIC_mean_z|AIC_ssGSEA|same_n|same_events|direction_consistent|materially_consistent|beta_difference		FALSE
f0037.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\corrected_cross_cohort_projection.xlsx	assignments	520	12	sample_id|tissue|ECM_definition|residual_projection|projected_cluster|nearest_distance|second_distance|assignment_margin|low_confidence|atopy|asthma|wheeze	residual_projection:FALSE=312;TRUE=208 | projected_cluster:C3=217;C1=189;C2=114	FALSE
f0037.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\corrected_cross_cohort_projection.xlsx	profiles	30	11	tissue|ECM_definition|residual_projection|projected_cluster|n|mean_margin|low_confidence_rate|atopy_rate|asthma_rate|wheeze_rate|asthma_wheeze_identical	residual_projection:FALSE=18;TRUE=12 | projected_cluster:C1=10;C2=10;C3=10	TRUE
f0039.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_independence_models.xlsx	models	9	23	cohort|ECM_definition|r_squared|adjusted_r_squared|beta_T2|beta_T2_ci_low|beta_T2_ci_high|p_T2|beta_IFN|beta_IFN_ci_low|beta_IFN_ci_high|p_IFN|partial_R2_T2|partial_R2_IFN|VIF_T2|VIF_IFN|condition_number|pearson_T2|pearson_IFN|spearman_T2|spearman_IFN|partial_cor_T2_adjust_IFN|partial_cor_IFN_adjust_T2		FALSE
f0039.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_independence_models.xlsx	partial_correlations	9	8	cohort|ECM_definition|partial_cor_T2_adjust_IFN|partial_cor_IFN_adjust_T2|pearson_T2|pearson_IFN|spearman_T2|spearman_IFN		FALSE
f0039.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_independence_models.xlsx	residual_cluster_metrics	3	19	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|cohort|ECM_definition|ARI_vs_original_ECM_cluster|NMI_vs_original_ECM_cluster|ARI_vs_two_axis|NMI_vs_two_axis	min_cluster_size:54=1;63=1;70=1 | max_cluster_size:316=1;317=1;334=1 | cluster_size_balance:0.161676646706587=1;0.198738170347003=1;0.221518987341772=1 | ARI_vs_original_ECM_cluster:0.535334798359704=1;0.779732102612073=1;0.903473172055117=1 | NMI_vs_original_ECM_cluster:0.49591112770883=1;0.70696731737226=1;0.843143720730839=1	FALSE
f0040.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_residual_scores.xlsx	residual_scores	2397	9	cohort|sample_id|tissue|ECM_definition|T2_z|IFN_z|ECM_z|ECM_residual|ECM_residual_z		FALSE
f0041.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_third_axis_validation_full_results.xlsx	two_vs_three	4	15	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|model|ECM_definition	min_cluster_size:58=1;64=1;68=1;74=1 | max_cluster_size:338=2;316=1;324=1 | cluster_size_balance:0.171597633136095=1;0.197530864197531=1;0.215189873417722=1;0.218934911242604=1	FALSE
f0041.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_third_axis_validation_full_results.xlsx	deltas	3	25	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|model|ECM_definition|delta_silhouette|delta_calinski_harabasz|delta_davies_bouldin|delta_assignment_margin|two_axis_mean_silhouette|two_axis_bootstrap_mean_ARI|bootstrap_mean_ARI|bootstrap_median_ARI|bootstrap_mean_NMI|delta_bootstrap_ARI	min_cluster_size:58=1;64=1;74=1 | max_cluster_size:338=2;324=1 | cluster_size_balance:0.171597633136095=1;0.197530864197531=1;0.218934911242604=1	FALSE
f0041.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_third_axis_validation_full_results.xlsx	independence	9	23	cohort|ECM_definition|r_squared|adjusted_r_squared|beta_T2|beta_T2_ci_low|beta_T2_ci_high|p_T2|beta_IFN|beta_IFN_ci_low|beta_IFN_ci_high|p_IFN|partial_R2_T2|partial_R2_IFN|VIF_T2|VIF_IFN|condition_number|pearson_T2|pearson_IFN|spearman_T2|spearman_IFN|partial_cor_T2_adjust_IFN|partial_cor_IFN_adjust_T2		FALSE
f0041.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_third_axis_validation_full_results.xlsx	residual_cluster	3	19	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|cohort|ECM_definition|ARI_vs_original_ECM_cluster|NMI_vs_original_ECM_cluster|ARI_vs_two_axis|NMI_vs_two_axis	min_cluster_size:54=1;63=1;70=1 | max_cluster_size:316=1;317=1;334=1 | cluster_size_balance:0.161676646706587=1;0.198738170347003=1;0.221518987341772=1 | ARI_vs_original_ECM_cluster:0.535334798359704=1;0.779732102612073=1;0.903473172055117=1 | NMI_vs_original_ECM_cluster:0.49591112770883=1;0.70696731737226=1;0.843143720730839=1	FALSE
f0041.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_third_axis_validation_full_results.xlsx	projection_profiles	30	11	tissue|ECM_definition|residual_projection|projected_cluster|n|mean_margin|low_confidence_rate|atopy_rate|asthma_rate|wheeze_rate|asthma_wheeze_identical	residual_projection:FALSE=18;TRUE=12 | projected_cluster:C1=10;C2=10;C3=10	TRUE
f0041.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_third_axis_validation_full_results.xlsx	ssGSEA_correlations	6	4	cohort|ECM_definition|pearson|spearman		FALSE
f0041.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\ECM_third_axis_validation_full_results.xlsx	ssGSEA_models	15	9	cohort|tissue|ECM_definition|outcome|term|beta|OR|p_value|n		FALSE
f0043.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\standard_ssGSEA_primary_models.xlsx	models	15	9	cohort|tissue|ECM_definition|outcome|term|beta|OR|p_value|n		FALSE
f0044.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\standard_ssGSEA_scores.xlsx	scores	2397	11	cohort|sample_id|tissue|ECM_definition|ssGSEA_score|mean_z_score|T2_z|IFN_z|asthma|atopy|wheeze		FALSE
f0044.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\standard_ssGSEA_scores.xlsx	correlations	6	4	cohort|ECM_definition|pearson|spearman		FALSE
f0045.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\two_vs_three_axis_metrics.xlsx	metrics	4	15	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|model|ECM_definition	min_cluster_size:58=1;64=1;68=1;74=1 | max_cluster_size:338=2;316=1;324=1 | cluster_size_balance:0.171597633136095=1;0.197530864197531=1;0.215189873417722=1;0.218934911242604=1	FALSE
f0045.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\two_vs_three_axis_metrics.xlsx	deltas	3	25	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|model|ECM_definition|delta_silhouette|delta_calinski_harabasz|delta_davies_bouldin|delta_assignment_margin|two_axis_mean_silhouette|two_axis_bootstrap_mean_ARI|bootstrap_mean_ARI|bootstrap_median_ARI|bootstrap_mean_NMI|delta_bootstrap_ARI	min_cluster_size:58=1;64=1;74=1 | max_cluster_size:338=2;324=1 | cluster_size_balance:0.171597633136095=1;0.197530864197531=1;0.218934911242604=1	FALSE
f0047.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\02_two_vs_three_axis\two_vs_three_axis_metrics.xlsx	metrics	4	15	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|model|ECM_definition	min_cluster_size:58=1;64=1;68=1;74=1 | max_cluster_size:338=2;316=1;324=1 | cluster_size_balance:0.171597633136095=1;0.197530864197531=1;0.215189873417722=1;0.218934911242604=1	FALSE
f0047.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\02_two_vs_three_axis\two_vs_three_axis_metrics.xlsx	deltas	3	25	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|model|ECM_definition|delta_silhouette|delta_calinski_harabasz|delta_davies_bouldin|delta_assignment_margin|two_axis_mean_silhouette|two_axis_bootstrap_mean_ARI|bootstrap_mean_ARI|bootstrap_median_ARI|bootstrap_mean_NMI|delta_bootstrap_ARI	min_cluster_size:58=1;64=1;74=1 | max_cluster_size:338=2;324=1 | cluster_size_balance:0.171597633136095=1;0.197530864197531=1;0.218934911242604=1	FALSE
f0048.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\03_residual_independence\ECM_partial_correlations.xlsx	partial_correlations	9	8	cohort|ECM_definition|partial_cor_T2_adjust_IFN|partial_cor_IFN_adjust_T2|pearson_T2|pearson_IFN|spearman_T2|spearman_IFN		FALSE
f0050.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\03_residual_independence\residual_three_axis_cluster_metrics.xlsx	metrics	3	19	mean_silhouette|median_silhouette|calinski_harabasz|davies_bouldin|total_withinss|between_total_ratio|min_cluster_size|max_cluster_size|cluster_size_balance|centroid_min_distance|centroid_mean_distance|mean_assignment_margin|median_assignment_margin|cohort|ECM_definition|ARI_vs_original_ECM_cluster|NMI_vs_original_ECM_cluster|ARI_vs_two_axis|NMI_vs_two_axis	min_cluster_size:54=1;63=1;70=1 | max_cluster_size:316=1;317=1;334=1 | cluster_size_balance:0.161676646706587=1;0.198738170347003=1;0.221518987341772=1 | ARI_vs_original_ECM_cluster:0.535334798359704=1;0.779732102612073=1;0.903473172055117=1 | NMI_vs_original_ECM_cluster:0.49591112770883=1;0.70696731737226=1;0.843143720730839=1	FALSE
f0055.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\06_corrected_projection\nasal_projection_profiles.xlsx	nasal	15	11	tissue|ECM_definition|residual_projection|projected_cluster|n|mean_margin|low_confidence_rate|atopy_rate|asthma_rate|wheeze_rate|asthma_wheeze_identical	residual_projection:FALSE=9;TRUE=6 | projected_cluster:C1=5;C2=5;C3=5	TRUE
f0056.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\06_corrected_projection\projection_distance_margin.xlsx	distances	520	12	sample_id|tissue|ECM_definition|residual_projection|projected_cluster|nearest_distance|second_distance|assignment_margin|low_confidence|atopy|asthma|wheeze	residual_projection:FALSE=312;TRUE=208 | projected_cluster:C3=217;C1=189;C2=114	FALSE
f0058.xlsx	[LOCAL_PROJECT_ROOT]\\03_result_directories\ECM_third_axis_validation\06_corrected_projection\tracheal_projection_profiles.xlsx	tracheal	15	11	tissue|ECM_definition|residual_projection|projected_cluster|n|mean_margin|low_confidence_rate|atopy_rate|asthma_rate|wheeze_rate|asthma_wheeze_identical	residual_projection:FALSE=9;TRUE=6 | projected_cluster:C1=5;C2=5;C3=5	FALSE
